,item_name,item_volumn,type
136,ohsung yes! chips! sweet potato bites with black sesame,['3.5oz(100g)'],asian
137,tong tong bay spicy dried squid,['1.5oz(43g)'],asian
138,ottogi corn cream soup,['2.82oz(80g)'],asian
139,haio yaki sushi nori,['0.98oz(28g) 10 sheets'],asian
140,house foods chinese mabo tofu sauce medium hot flavor,['5.3oz(150g)'],asian
141,dongwon boiled mackerel pike 14.1oz(400g),['4.1oz(400g)'],asian
142,chung jung one o'food mild doenjang (original soybean paste),['1.1lb(500g)'],asian
143,ottogi sesame flavor noodle bowl,['3.88oz(110g)'],asian
144,orion o! karto cream & cheese flavor,['4.06oz(115g)'],asian
145,chongga fermented kimchi (muk eun ji),['2.2lb(1kg)'],asian
146,ottogi curry powder medium hot,['3.52oz(100g)'],asian
147,haioreum japanese style buckwheat noodles 3lb(1.4kg),['1.4kg)'],asian
148,nongshim chapagetti chajang noodle,['4.5oz(127g) 16 packs'],asian
149,haitai butterring cookie big size 10.65oz(302g),['0.65oz(302g)'],asian
150,lotte moncher cream cake 13.6oz(384g) 12 pieces,['3.6oz(384g) 12 pieces'],asian
151,ottogi ppushu ppushu bulgogi flavor,['3.17oz(90g)'],asian
152,cj bibigo seaweed soup 17.6oz(500g),['7.6oz(500g)'],asian
153,ottogi curry powder hot,['3.52oz(100g)'],asian
154,ottogi wheat noodle thin round 31.7oz(900g),['1.7oz(900g)'],asian
155,ottogi 3 minutes hashed brown sauce ,['6.35oz(180g)'],asian
156,ottogi red bean rice porridge 10.05oz(285g),['0.05oz(285g)'],asian
157,chung jung one sunchang gochujang hot pepper paste,['2.11oz(60gx3ea)'],asian
158,haio premium roasted seaweed (laver),['0.71oz(20g) 4 packs'],asian
159,chongga fried kimchi,['6.7oz(190g)'],asian
160,cheong woo rice cake cookie,['9.1oz(258g)'],asian
161,ohsung yes! chips! shrimp chips,['3.7oz(105g)'],asian
162,sempio braised black beans in soy sauce,['2.4oz(70g)'],asian
163,chung jung one hot mustard paste,['1.23oz(35g)'],asian
164,haioreum ginger tea with honey,['2.2lb(1kg)'],asian
165,ottogi beef bone stock 11.8oz(350ml),['1.8oz(350ml)'],asian
166,chongga soy paste perilla leaf,['5.3oz(150g)'],asian
167,beksul furikake rice seasoning seafood flavor,['0.95oz(27g)'],asian
168,choung soo bibim naengmyeon (korean spicy cold noodle) 25.40oz(720g),['5.40oz(720g)'],asian
169,seoul trading samsugabsan rice 10lb(4.54 kg),['4.54 kg)'],asian
170,haioreum 100% pure sesame oil 12.5 fl.oz(370ml),['2.5 fl.oz(370ml)'],asian
171,shirakiku marukyo dorayaki - chestnut (baked red bean cake) 10.23oz(290g) 5 pieces,['0.23oz(290g) 5 pieces'],asian
172,haio canned mackerel pike 14.1oz(400g),['4.1oz(400g)'],asian
173,chung jung one sunchang 100% brown rice red pepper paste,['2.2lb(1kg)'],asian
174,lotte cheetos barbeque flavor,['6.27oz(178g)'],asian
175,badaaechan suhyup premium roasted seaweed less sodium,['0.7oz(20g) 10 packs'],asian
176,nongshim kal guk soo korean style noodle soup,['3.45oz(98g) 5 packs'],asian
177,chongga white kimchi (baek kimchi) 17.6oz(500g),['7.6oz(500g)'],asian
178,ottogi mushroom cream soup,['2.82oz(80g)'],asian
179,chung jung one traditional vermicelli,['1.1lb(500g)'],asian
180,kwangcheon green tea seaweed snack packs,['0.17oz(5g) 16 packs'],asian
181,house foods vermont curry sauce mix hot,['8.8oz(250g)'],asian
182,cj cooked white rice bulgogi flavored mushroom sauce,['8.72oz(247g)'],asian
183,beksul frying mix,['2.2lb(1kg)'],asian
184,lotte margaret cookie multi pack 13.97oz(396g),['3.97oz(396g)'],asian
185,samlip nuneddine,['4.23oz(120g)'],asian
186,cj cooked white rice mushroom & thistle bibimbap,['6.67oz(189g)'],asian
187,orion peanut crunch big size,['5.89oz(167g)'],asian
188,choripdong roasted seaweed laver,['0.42oz (5 sheet) 5 packs'],asian
189,organic farm organic mixed grains (10 different kinds) 3lb(1.36kg),['1.36kg)'],asian
190,yu dong boiled silkworm pupa,['4.58oz(130g)'],asian
191,house foods curry sauce hot 7oz(200g),[],asian
192,arizona farm honey powder 1lb(454g),[],asian
193,samyang chang gu - honey dipped snack,['4.06oz(115g)'],asian
194,indomie mi goreng fried noodles hot and spicy,['2.8oz(80g) 5 packs'],asian
195,crown vic pie strawberry 11.43oz(324g) 18 pieces,['1.43oz(324g) 18 pieces'],asian
196,foodcell goongjoong vermicelli,['1.5lb(680g)'],asian
197,haioreum melon flavored milk drink,['6.76oz(200ml) 6 packs'],asian
198,sahmyook black bean soy milk calcium,['6.5oz(195ml) 24 packs'],asian
199,chung jung one soonchang soybean paste,['2.2lb(1kg)'],asian
200,beksul sesame oil 10.8 fl.oz(320ml),['0.8 fl.oz(320ml)'],asian
201,pulmuone crispy seaweed to go packs,['0.16oz(4.5g) 12 packs'],asian
202,danya japanese style buckwheat noodles 3lb(1.4kg),['1.4kg)'],asian
203,ottogi dried seaweed,['8.82oz(250g)'],asian
204,nongshim potato noodle soup,['4.1oz(117g) 4 packs'],asian
205,chung woo chocolate pie & rice cake,['9.1oz(258g)'],asian
206,ottogi spice seafood noodle,['4.23oz(120g) 5 packs'],asian
207,lotte corn snack big size,['5.08oz(144g)'],asian
208,house foods curry sauce med hot 7oz(200g),[],asian
209,house foods chinese mabo tofu sauce mild flavor,['5.3oz(150g)'],asian
210,kokuho rose rice 15lb(6.8kg),['6.8kg)'],asian
211,tong tong bay seasoned dried squid,['1.5oz(43g)'],asian
212,dongsuh corn tea 300g(10g x 30t),[],asian
213,sempio premium yangjo soy sauce 501 s 31.4oz(930ml),['1.4oz(930ml)'],asian
214,house foods vermont curry sauce mix medium hot,['8.8oz(250g)'],asian
215,chongga pickled mustard leaves and stems kimchi (dolsan kat kimchi) 17.6oz(500g),['7.6oz(500g)'],asian
216,nongshim tempura udon noodle soup big bowl,['4.02oz(114g)'],asian
217,ktown meloni sweet melon cream cracker big size 11.29oz(320g),['1.29oz(320g)'],asian
218,haio red pepper paste mild hot,['2.2lb(1kg)'],asian
219,haio pancake mix 2lb(907g),[],asian
220,chung jung one fermented brown rice vinegar 16.9oz(500ml),['6.9oz(500ml)'],asian
221,kwangcheon premieum green tea seaweed gift box,['0.7oz(20g) 10 packs'],asian
222,dongwon rice porridge with chestnut and red bean 10.16oz(288g),['0.16oz(288g)'],asian
223,ottogi jinjja jjolmyeon,['5.29oz(150g) 4 packs'],asian
224,lotte choco pie original 12oz(336g) 12 pcs,[],asian
225,lotte yogurt jelly,['1.76oz(50g)'],asian
226,ottogi yeul ramen hot taste ,['4.23oz(120g) 5 packs'],asian
227,chung jung one cooking oligosaccharide (isomalto oligo syrup),['1.54lb(700g)'],asian
228,dongsuh brown rice green tea 75g(1.5g x 50t),['1.5g x 50t)'],asian
229,organic farm organic mixed grains (7 different kinds of grains) 3lb(1.36kg),['1.36kg)'],asian
230,cj hetbahn cooked sprouted brown rice box,['7.4oz(210g) 12 ea'],asian
231,house foods vermont curry sauce mix  mild,['8.8oz(250g)'],asian
232,dongwon rice porridge with pine nuts 10.16oz(288g),['0.16oz(288g)'],asian
233,sempio soy sauce jin gold f3 31.4oz(930ml),['1.4oz(930ml)'],asian
234,glico pocky cookies and cream covered biscuit sticks,['4.57oz(129.6g) 9 packs'],asian
235,dongsuh barley tea 30 tea bags,[],asian
236,ohsung yes! chips! garlic shrimp chips,['3.35oz(95g)'],asian
237,ohsung yes! chips! roasted corn crisps,['5.11oz(145g)'],asian
238,chung jung one premium somen korean noodles,['3.3lb(1.5kg)'],asian
239,chongga chongga garlic stem in soy sauce,['5.3oz (150g)'],asian
240,dongsuh solomon's seal tea 60g(1.2g x 50t),['1.2g x 50t)'],asian
241,ottogi rice tteok-bokki 15.02oz(426g),['5.02oz(426g)'],asian
242,chongga assorted garlic pickle with chili paste,['5.3oz(150g)'],asian
243,chung jung one rice syrup 24.7oz(700g),['4.7oz(700g)'],asian
244,marukyo shirakiku baked bean cake,['8.88oz(252g)'],asian
245,dongsuh pure barley tea 150g(10g x 15t),[],asian
246,chung jung one dried seaweed,['5.29oz(150g)'],asian
247,pulmuone tofu broth soup seasoning original spicy flavor,['1.48oz(42g)'],asian
248,raw nature sweet rice 4lb(64oz),[],asian
249,damizle red ginseng honey ginger tea,['1.13oz(32g) 12 sticks'],asian
250,ottogi odongtong myon (seafood) spicy flavor,['4.23oz(120g) 5 packs'],asian
251,chung jung one instant soup stock (beef),['2.2lb(1kg)'],asian
252,nishiki premium grade rice 15lb(6.8kg),['6.8kg)'],asian
253,ktown mellow pie big size 11.43oz(324g),['1.43oz(324g)'],asian
254,maxim white gold coffee mix,['0.42oz(12g) 100 sticks'],asian
255,ottogi soup tteok-bokki 15.02oz(426g),['5.02oz(426g)'],asian
256,samyang sattobab,['2.36oz(67g)'],asian
257,haio thick wheat noodle jajang guk su 3lb(1.36kg),['1.36kg)'],asian
258,chung jung one sunchang 100% brown rice red pepper paste less spicy,['1.1lb(500g)'],asian
259,foodcell janchi vermicelli 12oz(340g),[],asian
260,haio fresh flat wheat noodle kalguksu 3lb(1.36kg),['1.36kg)'],asian
261,pulmuone air dried mild ramen,['3.38oz(96g) 4 packs'],asian
262,chung jung one jewel of sinan island natural premium sea salt for kimchi,['2.2lb(1kg)'],asian
263,pulmuone spicy beef flavored ramen noodle soup,['4.26oz(121g) 4 packs'],asian
264,want want shelly senbei rice crackers,['4.3oz(122g)'],asian
265,ottogi dried sea tangle,['7.05oz(200g)'],asian
266,ito en oi ocha unsweetened green tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
267,organic farm organic short grain rice 3lb(1.36kg),['1.36kg)'],asian
268,chongga korean lettuce kimchi (godulbbaegi),['5.3oz(150g)'],asian
269,chung jung one salted anchovy sauce,['2.2lb(1kg)'],asian
270,haioreum korean style bbq sauce beef bulgogi marinade,['2.11lb(960g)'],asian
271,chongga seasoned perilla leaves 7oz(200g),[],asian
272,ottogi snack ramen,['3.04oz(108g) 5 packs'],asian
273,orion turtle chips cornsoup multi pack box 19.75lb(560g) (80g x 7ea),['9.75lb(560g) (80g x 7ea)'],asian
274,nongshim gamjatang myun,['4.69oz(133g) 4 packs'],asian
275,cj korean bbq sauce beef bulgogi marinade 17.6oz(500g),['7.6oz(500g)'],asian
276,crown crown sando strawberry cream cheese,['5.68oz(161g)'],asian
277,choripdong roasted grain powder with black bean,['2.2lb(1kg)'],asian
278,beksul dark brown sugar,['2.2lb(1kg)'],asian
279,beksul furikake rice seasoning cheese flavor,['0.95oz(27g)'],asian
280,cj bibigo oven baked brown rice seaweed crisps bbq flavor,['0.70oz(20g)'],asian
281,pulmuone dry miso soup,['0.28oz(8g) 5 packs'],asian
282,crown corn chee,['2.93oz(83g)'],asian
283,ottogi curry powder mild,['3.52oz(100g)'],asian
284,q1 sweet pumpkin korean pancake mix,['1.21lb(550g)'],asian
285,chung jung one anchovy and bonito spice mix,['8.82oz(250g)'],asian
286,chung jung one low sodium naturally brewed soy sauce 28.4oz(840ml),['8.4oz(840ml)'],asian
287,chongga canned kimch (fried),['5.64oz(160g)'],asian
288,samyang sutah ramen,['4.23oz(120g) 5 packs'],asian
289,chung jung one sunchang soy bean paste 15.9oz(450g),['5.9oz(450g)'],asian
290,mizkan oigatsuo tsuyu soup base 16 fl.oz(473ml),[],asian
291,abc assorted jelly 49.4oz(1.4kg),['9.4oz(1.4kg)'],asian
292,dongwon canned bai-top shell (hot) 14.1oz(400g),['4.1oz(400g)'],asian
293,yu dong canned mackerel 14.1oz(400g),['4.1oz(400g)'],asian
294,raw nature brown rice 4lb(1.81kg),['1.81kg)'],asian
295,banh trang spring rolls skin 12oz(345g),[],asian
296,haioreum korean style bbq sauce beef kalbi marinade,['2.11lb(960g)'],asian
297,crown poteau cheese tarte 11.36oz(322g),['1.36oz(322g)'],asian
298,fuji apple gift box 1 box fuji apple gift box 1 box,[],asian
299,ottogi cooked rice bibimbap,['8.22oz(233g)'],asian
300,house foods curry sauce mild 7oz(200g),[],asian
301,dongwon crispy laver snack almond,['0.71oz(20g) 6 packs'],asian
302,foodcell vermicelli,['1.1lb(500g)'],asian
303,chung jung one mild ssamjang (original seasoned soybean paste),['2.2lb(1kg)'],asian
304,nongshim onion flavored rings,['1.76oz(50g)'],asian
305,sempio naturally brewed soy sauce 701 31.4oz(930ml),['1.4oz(930ml)'],asian
306,kwangcheon green tea seasoned laver,['2.1oz(60g) 1+1 pack'],asian
307,raw nature brown sweet rice 4lb(1.81kg),['1.81kg)'],asian
308,samyang korean gomtang ramen,['3.88oz(110g) 5 packs'],asian
309,organic farm organic brown rice 3lb(1.36kg),['1.36kg)'],asian
310,chung jung one cooking syrup 24.7oz(700g),['4.7oz(700g)'],asian
311,cj bibigo crispy roasted seaweed,['0.71oz(20g) 4 packs'],asian
312,raw nature sweet rice 2lb(907g),[],asian
313,paldo spicy seafood noodle soup,['4.2oz(120g) 5 packs'],asian
314,crown caramel corns and peanuts,['2.54oz(72g)'],asian
315,tarami konjac jelly peach,['5.29oz(150g)'],asian
316,sempio chosun ganjang naturally brewed soy sauce for soup 31.4 fl.oz(930ml),['1.4 fl.oz(930ml)'],asian
317,chung jung one oligo syrup corn 24.7oz(700g),['4.7oz(700g)'],asian
318,vita lemon tea,['8.45 fl.oz(250ml) 6 packs'],asian
319,paldo namja ramen,['4.06oz(115g) 5 packs'],asian
320,organic farm premium organic haiga mai rice 3lb(1.36kg),['1.36kg)'],asian
321,crown kook hee biscuit 13.1oz(372g),['3.1oz(372g)'],asian
322,raw nature mixed grains 5lb(2.26kg),['2.26kg)'],asian
323,tarami konjac jelly grape,['5.29oz(150g)'],asian
324,haru haru medium grain milled rice,['4.4lb(2kg)'],asian
325,dr. j vegemil black bean high calcium soymilk,['6.43oz(190ml) 24 packs'],asian
326,paldo jang ramyun (soy flavor noodle) ,['4.23oz(120g) 5 packs'],asian
327,haioreum powdered enzyme amylase 1lb(453g),[],asian
328,chung jung one hong cho korean blackberry 30.41 fl.oz(900ml),['0.41 fl.oz(900ml)'],asian
329,haioreum korean style somen noodle 5lb(2.26kg),['2.26kg)'],asian
330,ottogi sesame oil,['5.44oz(160ml)'],asian
331,haio ume plum tea with honey,['2.2lb(1kg)'],asian
332,ottogi snack ramen cup,['2.19oz(62g) 6 cups'],asian
333,haioreum haio dried seaweed 5oz(142g),[],asian
334,choripdong roasted grain powder with green tea,['2.2lb(1kg)'],asian
335,organic farm organic brown rice & organic brown sweet rice 50/50 blend 3lb(1.36kg),['1.36kg)'],asian
336,organic farm organic whole barley 3lb(1.36kg),['1.36kg)'],asian
337,sangaria royal milk tea,['8.96 fl.oz(265ml)'],asian
338,orion choco boy big size,['5.07oz(144g)'],asian
339,lotte kancho choco biscuit multi pack,['5.92oz(168g)'],asian
340,kadoya pure sesame oil 11 fl.oz(325ml),[],asian
341,haru haru brown rice 15lb(6.8kg),['6.8kg)'],asian
342,raw nature black rice 4lb(64oz),[],asian
343,haio asian style noodle somen 3lb(1.36kg),['1.36kg)'],asian
344,huy fong foods sriracha chilli sauce 17oz(482g),[],asian
345,tarami konjac jelly apple,['5.29oz(150g)'],asian
346,chung jung one unpolished rice vinegar 30.43oz(900ml),['0.43oz(900ml)'],asian
347,ottogi seasoned red pepper paste 17.5oz(500g),['7.5oz(500g)'],asian
348,"damizle walnut, almond, adlay tea",['0.7oz(20g) 50 bags'],asian
349,haru haru mai brown rice & brown sweet rice 15lb(6.8kg),['6.8kg)'],asian
350,nongshim chal bibim myun ,['4.58oz(130g) 5 packs'],asian
351,ottogi pork cutlet sauce 16.45oz(470g),['6.45oz(470g)'],asian
352,chung jung one naturally brewed soy sauce 28.4oz(840ml),['8.4oz(840ml)'],asian
353,orion goraebob fried spicy seasoning multi pack box 21.16oz(600g) (40g x 15ea),['1.16oz(600g) (40g x 15ea)'],asian
354,chung jung one isomalto oligo rice syrup rice 24.7oz(700g),['4.7oz(700g)'],asian
355,organic farm organic black bean 3lb(1.36kg),['1.36kg)'],asian
356,chung jung one corn syrup 24.7oz(700g),['4.7oz(700g)'],asian
357,ottogi sweet pumpkin porridge 10.05oz(285g),['0.05oz(285g)'],asian
358,chung jung one fine seasoning salt 17.6oz(500g),['7.6oz(500g)'],asian
359,abc fruity jelly snack assorted flavor,['4.33oz(122g) 6 cups'],asian
360,kwangcheon green tea seaweed (green laver) snack packs,['0.17oz(5g) 16 packs'],asian
361,haitai choco homerun ball 12 packs multi pack 19.47oz(552g),['9.47oz(552g)'],asian
362,cj dasida anchovy soup stock 10.6oz(300g),['0.6oz(300g)'],asian
363,raw nature black bean with green kernels 4lb(1.81kg),['1.81kg)'],asian
364,glico pocky matcha,['2.47oz(70g)'],asian
365,samhae sushi laver for triangle rice ball,['0.35oz(10g) 10 sheets'],asian
366,haio red pepper powder coarse,['2.2lb(1kg)'],asian
367,chaokoh coconut milk 13.5 fl.oz(400ml),['3.5 fl.oz(400ml)'],asian
368,raw nature brown rice brown sweet rice 15lb(6.8kg),['6.8kg)'],asian
369,shirakiku nori maki arare,[],asian
370,ottogi egg and vegetable rice porridge 10.05oz(285g),['0.05oz(285g)'],asian
371,chung jung one tonkatsu sauce for pork cutlet,['8.8oz(250g)'],asian
372,paldo seafood flavor noodle soup,['2.29oz(65g) 6 cups'],asian
373,raw nature premium nutri pearl barley 4lbs(1.81kg),['1.81kg)'],asian
374,paldo pororo apple flavor juice drink,['7.95 fl.oz(235ml)'],asian
375,haio frying mix 2lb(907g),[],asian
376,shinsyu-ichi instant miso soup green onion,['6.21oz(176g)'],asian
377,samyang beef ramen hot flavor,['4.23oz(120g) 5 packs'],asian
378,tarami konjac jelly mango,['5.29oz(150g)'],asian
379,lotte pepero white chocolate multi pack line friends,['4.52oz(128g)'],asian
380,danya somen japanese style noodle 3lb(1.36kg),['1.36kg)'],asian
381,shirakiku japanese buckwheat noodles zaru soba 31.8oz(900g),['1.8oz(900g)'],asian
382,organic farm 100% organic brown sweet rice 3lb(1.36kg),['1.36kg)'],asian
